id,sensor_id,zone_id,timestamp,sensor_type,unit,val
1,TEMP-001,zone_A,2025-07-29T00:00:00Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:01Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:02Z,temperature,째C,21.5
1,TEMP-001,zone_A,2025-07-29T00:00:03Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:04Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:05Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:06Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:07Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:00:08Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:09Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:10Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:11Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:12Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:13Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:14Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:15Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:16Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:17Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:18Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:00:19Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:20Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:21Z,temperature,째C,21.5
1,TEMP-001,zone_A,2025-07-29T00:00:22Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:23Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:24Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:25Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:26Z,temperature,째C,21.5
1,TEMP-001,zone_A,2025-07-29T00:00:27Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:28Z,temperature,째C,21.5
1,TEMP-001,zone_A,2025-07-29T00:00:29Z,temperature,째C,21.5
1,TEMP-001,zone_A,2025-07-29T00:00:30Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:31Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:32Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:33Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:34Z,temperature,째C,21.5
1,TEMP-001,zone_A,2025-07-29T00:00:35Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:36Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:37Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:38Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:39Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:40Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:41Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:42Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:43Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:44Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:45Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:46Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:00:47Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:48Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:49Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:50Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:00:51Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:52Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:00:53Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:54Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:00:55Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:56Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:00:57Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:00:58Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:00:59Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:01:00Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:01:01Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:02Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:03Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:01:04Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:01:05Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:06Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:07Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:08Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:01:09Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:10Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:11Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:12Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:13Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:14Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:15Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:16Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:01:17Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:18Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:19Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:20Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:21Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:01:22Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:23Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:24Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:25Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:26Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:27Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:28Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:29Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:30Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:31Z,temperature,째C,21.25
1,TEMP-001,zone_A,2025-07-29T00:01:32Z,temperature,째C,20.75
1,TEMP-001,zone_A,2025-07-29T00:01:33Z,temperature,째C,21
1,TEMP-001,zone_A,2025-07-29T00:01:34Z,temperature,째C,21.5
1,TEMP-001,zone_A,2025-07-29T00:01:35Z,temperature,째C,21.75
1,TEMP-001,zone_A,2025-07-29T00:01:36Z,temperature,째C,22
1,TEMP-001,zone_A,2025-07-29T00:01:37Z,temperature,째C,22.25
1,TEMP-001,zone_A,2025-07-29T00:01:38Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:01:39Z,temperature,째C,22.5
1,TEMP-001,zone_A,2025-07-29T00:01:40Z,temperature,째C,22.5
1,TEMP-001,zone_A,2025-07-29T00:01:41Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:01:42Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:01:43Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:01:44Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:01:45Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:01:46Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:01:47Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:01:48Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:01:49Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:01:50Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:01:51Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:01:52Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:01:53Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:01:54Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:01:55Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:01:56Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:01:57Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:01:58Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:01:59Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:02:00Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:02:01Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:02:02Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:02:03Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:02:04Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:02:05Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:02:06Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:02:07Z,temperature,째C,23
1,TEMP-001,zone_A,2025-07-29T00:02:08Z,temperature,째C,22.75
1,TEMP-001,zone_A,2025-07-29T00:02:09Z,temperature,째C,22.75
