id,sensor_id,zone_id,timestamp,sensor_type,unit,val
4,TEMP-002,zone_B,2025-07-29T04:00:00Z,temperature,째C,18.75
4,TEMP-002,zone_B,2025-07-29T04:00:01Z,temperature,째C,18.5
4,TEMP-002,zone_B,2025-07-29T04:00:02Z,temperature,째C,18.5
4,TEMP-002,zone_B,2025-07-29T04:00:03Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:04Z,temperature,째C,18.5
4,TEMP-002,zone_B,2025-07-29T04:00:05Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:06Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:07Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:08Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:09Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:10Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:11Z,temperature,째C,17.75
4,TEMP-002,zone_B,2025-07-29T04:00:12Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:13Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:14Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:15Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:16Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:17Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:18Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:19Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:20Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:21Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:22Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:23Z,temperature,째C,17.75
4,TEMP-002,zone_B,2025-07-29T04:00:24Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:25Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:26Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:27Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:28Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:29Z,temperature,째C,18
4,TEMP-002,zone_B,2025-07-29T04:00:30Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:31Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:32Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:33Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:34Z,temperature,째C,18.25
4,TEMP-002,zone_B,2025-07-29T04:00:35Z,temperature,째C,18.5
4,TEMP-002,zone_B,2025-07-29T04:00:36Z,temperature,째C,18.75
4,TEMP-002,zone_B,2025-07-29T04:00:37Z,temperature,째C,18.5
4,TEMP-002,zone_B,2025-07-29T04:00:38Z,temperature,째C,18.5
4,TEMP-002,zone_B,2025-07-29T04:00:39Z,temperature,째C,18.5
4,TEMP-002,zone_B,2025-07-29T04:00:40Z,temperature,째C,18.5
4,TEMP-002,zone_B,2025-07-29T04:00:41Z,temperature,째C,19
4,TEMP-002,zone_B,2025-07-29T04:00:42Z,temperature,째C,19
4,TEMP-002,zone_B,2025-07-29T04:00:43Z,temperature,째C,19.25
4,TEMP-002,zone_B,2025-07-29T04:00:44Z,temperature,째C,19
4,TEMP-002,zone_B,2025-07-29T04:00:45Z,temperature,째C,19.25
4,TEMP-002,zone_B,2025-07-29T04:00:46Z,temperature,째C,19.25
4,TEMP-002,zone_B,2025-07-29T04:00:47Z,temperature,째C,19.25
4,TEMP-002,zone_B,2025-07-29T04:00:48Z,temperature,째C,19.25
4,TEMP-002,zone_B,2025-07-29T04:00:49Z,temperature,째C,19.25
4,TEMP-002,zone_B,2025-07-29T04:00:50Z,temperature,째C,19.25
4,TEMP-002,zone_B,2025-07-29T04:00:51Z,temperature,째C,19.5
4,TEMP-002,zone_B,2025-07-29T04:00:52Z,temperature,째C,19.25
4,TEMP-002,zone_B,2025-07-29T04:00:53Z,temperature,째C,19.5
4,TEMP-002,zone_B,2025-07-29T04:00:54Z,temperature,째C,19.75
4,TEMP-002,zone_B,2025-07-29T04:00:55Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:00:56Z,temperature,째C,19.75
4,TEMP-002,zone_B,2025-07-29T04:00:57Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:00:58Z,temperature,째C,19.75
4,TEMP-002,zone_B,2025-07-29T04:00:59Z,temperature,째C,19.75
4,TEMP-002,zone_B,2025-07-29T04:01:00Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:01:01Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:02Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:03Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:04Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:01:05Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:06Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:01:07Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:08Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:09Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:10Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:11Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:12Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:13Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:14Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:15Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:01:16Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:17Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:01:18Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:01:19Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:20Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:21Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:22Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:23Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:24Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:25Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:26Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:27Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:28Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:01:29Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:01:30Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:01:31Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:32Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:33Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:34Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:35Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:36Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:37Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:38Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:39Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:40Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:41Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:42Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:43Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:44Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:45Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:46Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:47Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:01:48Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:01:49Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:01:50Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:51Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:52Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:53Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:54Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:01:55Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:56Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:01:57Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:01:58Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:01:59Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:02:00Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:02:01Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:02:02Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:02:03Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:02:04Z,temperature,째C,20
4,TEMP-002,zone_B,2025-07-29T04:02:05Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:02:06Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:02:07Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:02:08Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:09Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:02:10Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:11Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:02:12Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:13Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:14Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:15Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:16Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:17Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:18Z,temperature,째C,20.25
4,TEMP-002,zone_B,2025-07-29T04:02:19Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:20Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:21Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:22Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:23Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:24Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:25Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:26Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:27Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:28Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:29Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:30Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:31Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:32Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:33Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:34Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:35Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:36Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:37Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:02:38Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:39Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:40Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:41Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:42Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:02:43Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:44Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:45Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:46Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:02:47Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:02:48Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:49Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:50Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:51Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:52Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:02:53Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:54Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:02:55Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:02:56Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:02:57Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:58Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:02:59Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:00Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:01Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:02Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:03Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:04Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:05Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:06Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:07Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:08Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:09Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:03:10Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:11Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:12Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:13Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:14Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:15Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:16Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:17Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:18Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:19Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:20Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:21Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:22Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:23Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:24Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:25Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:26Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:27Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:28Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:29Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:30Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:31Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:32Z,temperature,째C,21.25
4,TEMP-002,zone_B,2025-07-29T04:03:33Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:34Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:35Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:03:36Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:37Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:38Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:39Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:40Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:03:41Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:03:42Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:03:43Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:44Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:03:45Z,temperature,째C,21
4,TEMP-002,zone_B,2025-07-29T04:03:46Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:03:47Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:03:48Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:03:49Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:03:50Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:03:51Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:03:52Z,temperature,째C,20.5
4,TEMP-002,zone_B,2025-07-29T04:03:53Z,temperature,째C,20.75
4,TEMP-002,zone_B,2025-07-29T04:03:54Z,temperature,째C,20.75
